"","","","","","","","","Playing Time","Playing Time","Playing Time","Playing Time","Playing Time","Starts","Starts","Starts","Subs","Subs","Subs","Team Success","Team Success","Team Success","Team Success","Team Success","Team Success",""
"1","Rk","Player","Nation","Pos","Squad","Age","Born","MP","Min","Mn/MP","Min%","90s","Starts","Mn/Start","Compl","Subs","Mn/Sub","unSub","PPM","onG","onGA","+/-","+/-90","On-Off","Matches"
"683","656","Fatih Yigit Sanlitürk","tr TUR","MF","Fenerbahçe","18-012","2003","1","5","5","0.3","0.1","0","","0","1","5","3","3.00","0","0","0","0.00","-0.83","Matches"
"684","657","Metin Yildirim","tr TUR","MF","Göztepe","20-323","2000","0","","","","","0","","0","0","","3","","","","","","","Matches"
"685","658","Muammer Yildirim","tr TUR","GK","Sivasspor","30-121","1990","0","","","","","0","","0","0","","16","","","","","","","Matches"
"686","659","Murat Yildirim","tr TUR","MF","Gençlerbirligi","33-240","1987","15","799","53","52.2","8.9","8","72","1","7","32","0","0.87","8","19","-11","-1.24","-0.99","Matches"
"687","660","Zeki Yildirim","tr TUR","MF","Fatih Karagümrük","29-364","1991","5","58","12","3.8","0.6","0","","0","5","12","5","1.20","2","2","0","0.00","-0.24","Matches"
"688","661","Berk Yildiz","tr TUR","FW,MF","Yeni Mal'spor","25-004","1996","2","55","28","3.6","0.6","0","","0","2","28","5","0.50","1","1","0","0.00","+0.12","Matches"
"689","662","Ahmet Yilmaz Çalik","tr TUR","DF","Konyaspor","26-322","1994","10","733","73","47.9","8.1","8","90","8","2","7","2","1.40","10","12","-2","-0.25","-0.81","Matches"
"690","663","Kartal Yilmaz","tr TUR","MF","Besiktas","20-070","2000","1","9","9","0.6","0.1","0","","0","1","9","14","3.00","2","0","+2","+20.00","+19.05","Matches"
"691","664","Mert Yilmaz","tr TUR","DF,MF","Antalyaspor","21-311","1999","6","422","70","26.0","4.7","6","70","3","0","","7","0.33","3","14","-11","-2.35","-2.72","Matches"
"692","665","Oguz Yilmaz","tr TUR","DF","Denizlispor","28-012","1993","9","636","71","41.6","7.1","7","79","5","2","42","1","0.56","6","18","-12","-1.70","-1.80","Matches"
"693","666","Ridvan Yilmaz","tr TUR","DF","Besiktas","19-237","2001","9","714","79","46.7","7.9","8","88","7","1","8","8","2.33","24","6","+18","+2.27","+2.27","Matches"
"694","667","Sefa Yilmaz","tr TUR","MF","Gençlerbirligi","30-334","1990","17","935","55","61.1","10.4","11","71","1","6","26","0","1.12","11","19","-8","-0.77","-0.01","Matches"
"695","668","Mustafa Yumlu","tr TUR","DF","Denizlispor","33-110","1987","14","1,037","74","67.8","11.5","13","79","11","1","11","1","1.00","13","20","-7","-0.61","+0.12","Matches"
"696","669","Utku Yuvakuran","tr TUR","GK","Besiktas","23-072","1997","5","393","79","25.7","4.4","4","90","4","1","33","10","1.80","12","9","+3","+0.69","-0.50","Matches"
"697","670","Ahmet Zekeriyya Kartal","tr TUR","DF","Kayserispor","19-198","2001","0","","","","","0","","0","0","","1","","","","","","","Matches"
"698","671","Ulas Zengin","tr TUR","DF","Gaziantep FK","23-202","1997","0","","","","","0","","0","0","","3","","","","","","","Matches"
"699","672","Ervin Zukanovic","ba BIH","DF","Fatih Karagümrük","33-337","1987","8","720","90","47.1","8.0","8","90","8","0","","0","1.50","16","10","+6","+0.75","+0.97","Matches"
"700","673","Fernando Zuqui","ar ARG","MF","Yeni Mal'spor","29-047","1991","5","108","22","7.1","1.2","0","","0","5","22","7","1.00","1","2","-1","-0.83","-0.77","Matches"
"701","674","Daniel Lukasik","pl POL","MF","Ankaragücü","29-260","1991","12","837","70","54.7","9.3","10","79","5","2","22","4","1.00","12","14","-2","-0.22","+0.43","Matches"
