Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
27,Ryan Babel\Ryan-Babel,nl NED,FW,Fulham,31,1986,13.9,0.36,1.80,0.65,36.0,1.80,0.65,0.20,0.56,16.5,0.00,0.00,0.00,0.34,0.34,0.19,0.02,0.02,Matches
28,Juninho Bacuna\Juninho-Bacuna,cw CUW,MFDF,Huddersfield,20,1997,15.7,0.06,1.08,0.51,47.1,1.08,0.51,0.06,0.13,26.4,0.13,0.00,0.00,0.03,0.03,0.03,0.03,0.03,Matches
29,Leandro Bacuna\Leandro-Bacuna,cw CUW,MFDF,Cardiff City,26,1991,6.2,0.00,0.81,0.16,20.0,0.80,0.16,0.00,0.00,27.6,0.00,0.00,0.00,0.02,0.02,0.02,-0.02,-0.02,Matches
30,Eric Bailly\Eric-Bailly,ci CIV,DF,Manchester Utd,24,1994,7.1,0.00,0.42,0.14,33.3,0.42,0.14,0.00,0.00,11.0,0.00,0.00,0.00,0.03,0.03,0.07,-0.03,-0.03,Matches
31,Leighton Baines\Leighton-Baines,eng ENG,DF,Everton,33,1984,4.2,0.00,0.48,0.24,50.0,0.48,0.24,0.00,0.00,26.9,0.24,0.00,0.00,0.02,0.02,0.03,-0.02,-0.02,Matches
32,Fabián Balbuena\Fabian-Balbuena,py PAR,DF,West Ham,26,1991,22.4,0.04,0.76,0.09,11.8,0.76,0.09,0.06,0.50,8.1,0.00,0.00,0.00,0.09,0.09,0.13,-0.05,-0.05,Matches
33,Leon Balogun\Leon-Balogun,ng NGA,DF,Brighton,30,1988,6.6,0.15,0.45,0.15,33.3,0.45,0.15,0.33,1.00,9.2,0.00,0.00,0.00,0.03,0.03,0.07,0.12,0.12,Matches
34,Sol Bamba\Sol-Bamba,ci CIV,DF,Cardiff City,33,1985,27.5,0.15,0.76,0.29,38.1,0.76,0.29,0.19,0.50,9.1,0.00,0.00,0.00,0.09,0.09,0.13,0.05,0.05,Matches
35,Phil Bardsley\Phil-Bardsley,sco SCO,DF,Burnley,33,1985,18.6,0.00,0.65,0.05,8.3,0.65,0.05,0.00,0.00,27.7,0.00,0.00,0.00,0.01,0.01,0.02,-0.01,-0.01,Matches
36,Ross Barkley\Ross-Barkley,eng ENG,MF,Chelsea,24,1993,13.8,0.22,2.75,0.58,21.1,2.75,0.58,0.08,0.38,19.8,0.07,0.00,0.00,0.28,0.28,0.10,-0.06,-0.06,Matches
37,Ashley Barnes\Ashley-Barnes,eng ENG,FW,Burnley,28,1989,26.5,0.45,2.30,1.02,44.3,2.30,1.02,0.16,0.37,13.8,0.00,0.08,0.08,0.45,0.39,0.17,0.00,-0.02,Matches
38,Harvey Barnes\Harvey-Barnes,eng ENG,FWMF,Leicester City,20,1997,11.2,0.09,3.48,0.98,28.2,3.50,0.99,0.03,0.09,16.2,0.00,0.00,0.00,0.29,0.29,0.08,-0.20,-0.20,Matches
39,Antonio Barreca\Antonio-Barreca,it ITA,DF,Newcastle Utd,23,1995,0.1,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
40,Michy Batshuayi\Michy-Batshuayi,be BEL,FW,Crystal Palace,24,1993,8.3,0.60,3.13,1.20,38.5,3.12,1.20,0.19,0.50,15.6,0.00,0.00,0.00,0.42,0.42,0.14,0.18,0.18,Matches
