Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Matches
22,Serge Aurier\Serge-Aurier,ci CIV,DFMF,Tottenham,25,1992,6.3,68.6,3.33,19.0,29.4,23.2,1.27,60.0,1.27,2.38,53.3,1.59,0.00,41.9,152.7,81.3,3.97,1.90,0.16,1.27,1.75,42.4,37.8,89.1,2.06,Matches
23,Charlie Austin\Charlie-Austin,eng ENG,FW,Southampton,29,1989,10.9,31.7,1.65,3.39,12.7,16.1,4.77,30.9,0.46,1.10,41.7,0.73,0.00,17.5,62.9,20.0,1.10,0.09,0.37,3.12,1.01,47.2,22.3,47.2,8.44,Matches
24,Jordan Ayew\Jordan-Ayew,gh GHA,FW,Crystal Palace,26,1991,13.1,37.6,0.53,4.05,18.0,18.1,4.73,36.8,1.83,2.75,66.7,1.91,0.08,28.3,140.8,63.5,3.05,0.84,0.46,3.28,3.36,48.6,25.2,51.8,10.5,Matches
25,Floyd Ayité\Floyd-Ayite,tg TOG,FWMF,Fulham,29,1988,5.3,54.3,1.13,8.49,27.4,23.8,3.77,53.4,2.45,4.15,59.1,2.83,0.19,40.8,210.4,105.5,4.91,1.70,0.94,2.45,2.83,51.1,37.4,73.1,7.74,Matches
26,César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,Chelsea,28,1989,37.8,86.3,3.39,25.3,40.5,23.9,1.46,77.0,0.42,0.69,61.5,0.45,0.00,57.0,177.8,98.5,4.97,1.69,0.16,0.56,0.58,60.1,56.7,94.4,1.75,Matches
27,Ryan Babel\Ryan-Babel,nl NED,FW,Fulham,31,1986,13.9,48.2,1.58,5.90,25.7,20.6,2.45,46.0,2.59,3.24,80.0,2.66,0.14,40.6,213.7,101.5,5.32,1.94,0.79,2.16,2.23,53.3,37.1,69.6,8.27,Matches
28,Juninho Bacuna\Juninho-Bacuna,cw CUW,MFDF,Huddersfield,20,1997,15.7,62.6,1.21,12.1,39.7,14.4,0.76,58.4,1.97,3.82,51.7,2.29,0.25,44.4,207.5,99.0,4.33,1.15,0.19,1.21,1.59,42.0,38.0,90.4,1.59,Matches
29,Leandro Bacuna\Leandro-Bacuna,cw CUW,MFDF,Cardiff City,26,1991,6.2,39.5,3.06,13.1,21.1,8.23,0.65,36.1,0.65,0.97,66.7,0.65,0.00,18.2,151.5,80.5,2.58,1.13,0.16,0.65,0.97,15.6,12.6,80.4,0.65,Matches
30,Eric Bailly\Eric-Bailly,ci CIV,DF,Manchester Utd,24,1994,7.1,54.2,7.89,31.1,23.4,1.41,0.99,53.5,0.28,0.28,100.0,0.28,0.00,34.8,142.5,47.9,0.99,0.14,0.00,0.42,0.28,33.1,32.8,99.1,0.56,Matches
31,Leighton Baines\Leighton-Baines,eng ENG,DF,Everton,33,1984,4.2,68.6,2.62,13.1,37.4,20.5,0.24,52.4,0.00,0.24,0.0,0.00,0.00,38.8,145.0,83.8,3.81,1.19,0.00,0.48,0.00,41.9,38.8,92.6,1.43,Matches
32,Fabián Balbuena\Fabian-Balbuena,py PAR,DF,West Ham,26,1991,22.4,50.2,8.44,31.2,20.1,1.83,1.21,49.3,0.09,0.09,100.0,0.09,0.00,26.4,134.9,67.4,1.12,0.13,0.00,0.13,0.13,26.9,26.1,96.8,1.03,Matches
33,Leon Balogun\Leon-Balogun,ng NGA,DF,Brighton,30,1988,6.6,45.0,5.76,29.7,17.1,1.06,0.76,43.9,0.30,0.45,66.7,0.45,0.00,21.1,107.7,41.7,0.15,0.00,0.00,0.45,0.45,23.6,23.0,97.4,0.45,Matches
34,Sol Bamba\Sol-Bamba,ci CIV,DF,Cardiff City,33,1985,27.5,36.1,7.31,20.0,15.6,1.67,1.05,35.6,0.58,0.69,84.2,0.58,0.00,13.5,63.3,29.6,0.65,0.07,0.00,0.18,0.47,9.89,8.87,89.7,0.69,Matches
35,Phil Bardsley\Phil-Bardsley,sco SCO,DF,Burnley,33,1985,18.6,52.4,4.30,15.1,27.3,11.9,0.48,42.4,0.27,0.59,45.5,0.38,0.00,24.4,123.8,57.2,2.85,1.08,0.05,0.32,0.32,23.3,21.8,93.3,0.70,Matches
36,Ross Barkley\Ross-Barkley,eng ENG,MF,Chelsea,24,1993,13.8,82.5,1.88,11.5,50.4,26.3,3.55,80.4,1.38,1.88,73.1,1.38,0.00,67.8,281.2,129.5,6.23,2.54,0.51,0.87,2.39,72.4,65.7,90.7,5.94,Matches
37,Ashley Barnes\Ashley-Barnes,eng ENG,FW,Burnley,28,1989,26.5,34.5,1.28,3.32,15.7,17.0,4.57,33.5,0.42,0.72,57.9,0.45,0.00,20.0,67.6,33.4,1.77,0.53,0.45,3.62,1.51,54.0,23.8,44.1,8.91,Matches
38,Harvey Barnes\Harvey-Barnes,eng ENG,FWMF,Leicester City,20,1997,11.2,43.3,0.54,3.75,14.5,28.9,7.86,43.0,1.79,2.95,60.6,1.88,0.27,36.1,245.5,166.6,8.66,2.05,2.95,2.32,1.79,48.8,33.8,69.2,9.46,Matches
39,Antonio Barreca\Antonio-Barreca,it ITA,DF,Newcastle Utd,23,1995,0.1,30.0,0.00,0.00,20.0,10.0,0.00,30.0,0.00,0.00,,0.00,0.00,20.0,130.0,80.0,10.0,0.00,0.00,0.00,0.00,50.0,30.0,60.0,0.00,Matches
40,Michy Batshuayi\Michy-Batshuayi,be BEL,FW,Crystal Palace,24,1993,8.3,30.4,0.48,3.86,15.1,13.7,5.54,29.9,1.57,2.29,68.4,1.69,0.00,22.4,94.6,39.5,2.17,0.96,0.60,2.41,1.69,43.1,21.0,48.6,8.19,Matches
41,Jan Bednarek\Jan-Bednarek,pl POL,DF,Southampton,22,1996,23.9,49.4,7.28,24.7,25.3,1.51,0.42,46.2,0.08,0.13,66.7,0.08,0.00,20.4,99.7,51.3,1.63,0.29,0.00,0.13,0.17,20.5,19.7,96.3,0.21,Matches
42,Asmir Begović\Asmir-Begovic,ba BIH,GK,Bournemouth,31,1987,24.0,29.2,26.6,29.1,0.00,0.08,0.00,19.2,0.00,0.00,,0.00,0.00,12.5,57.5,31.5,0.00,0.00,0.00,0.04,0.00,8.71,8.67,99.5,0.00,Matches
43,Héctor Bellerín\Hector-Bellerin,es ESP,DF,Arsenal,23,1995,17.0,64.4,3.06,18.1,27.5,22.5,3.41,56.8,1.12,1.35,82.6,1.12,0.06,44.0,218.0,122.9,6.00,1.71,0.53,0.71,1.24,46.1,41.0,89.0,4.06,Matches
44,Joe Bennett\Joe-Bennett,eng ENG,DF,Cardiff City,28,1990,29.3,41.3,3.99,12.9,19.2,10.9,0.44,33.5,0.82,1.02,80.0,0.92,0.00,18.8,83.3,37.9,1.88,0.78,0.07,0.31,0.51,16.6,14.8,89.3,0.72,Matches
45,Ryan Bennett\Ryan-Bennett,eng ENG,DF,Wolves,28,1990,34.0,50.3,5.24,22.3,26.4,3.88,0.56,48.3,0.03,0.03,100.0,0.03,0.00,28.1,118.9,60.6,2.00,0.53,0.00,0.15,0.06,29.5,28.8,97.6,0.56,Matches
46,Christian Benteke\Christian-Benteke,be BEL,FW,Crystal Palace,27,1990,9.0,39.3,1.89,3.78,18.6,18.6,6.11,38.0,0.44,0.89,50.0,0.56,0.00,19.8,49.4,17.7,1.11,0.67,0.11,2.89,2.00,53.6,30.7,57.3,11.8,Matches
47,Jóhann Berg Guðmundsson\Johann-Berg-Gudmundsson,is ISL,MFFW,Burnley,27,1990,19.5,43.9,2.10,7.74,15.9,23.3,3.03,40.0,0.92,1.79,51.4,0.97,0.00,29.4,190.3,97.5,5.08,1.90,0.56,1.64,1.74,34.3,25.5,74.3,5.69,Matches
48,Bernard\Bernard,br BRA,FWMF,Everton,25,1992,23.5,51.2,0.89,9.70,22.7,23.7,3.49,50.8,1.91,3.79,50.6,2.04,0.13,41.1,224.6,127.4,6.13,2.00,0.94,2.94,1.79,45.1,34.9,77.5,7.06,Matches
49,Bernardo\Bernardo,br BRA,DF,Brighton,23,1995,19.5,65.0,5.13,24.1,30.7,14.3,0.62,54.1,0.77,0.97,78.9,0.82,0.00,34.1,184.1,107.7,4.41,1.33,0.10,0.92,0.67,33.5,30.4,90.7,1.13,Matches
50,Ryan Bertrand\Ryan-Bertrand,eng ENG,DF,Southampton,28,1989,24.0,54.8,2.88,12.3,23.0,22.5,1.46,44.0,0.29,0.88,33.3,0.46,0.08,28.3,142.3,77.8,4.33,1.54,0.25,1.04,0.63,33.5,28.7,85.5,2.50,Matches
51,Marcus Bettinelli\Marcus-Bettinelli,eng ENG,GK,Fulham,26,1992,7.0,38.9,34.7,38.9,0.00,0.00,0.00,26.7,0.00,0.00,,0.00,0.00,18.6,55.7,31.4,0.00,0.00,0.00,0.00,0.00,15.9,15.7,99.1,0.00,Matches
52,Philip Billing\Philip-Billing,dk DEN,MF,Huddersfield,22,1996,24.3,67.1,2.59,15.3,33.5,22.9,1.40,61.4,0.86,1.52,56.8,0.91,0.00,40.0,220.7,98.9,3.70,2.02,0.04,1.60,1.28,42.4,36.7,86.6,3.50,Matches
53,Yves Bissouma\Yves-Bissouma,ml MLI,MF,Brighton,21,1996,19.7,52.0,2.59,12.5,29.4,14.7,1.83,50.7,2.59,3.76,68.9,2.99,0.10,38.0,225.1,118.7,6.24,1.93,0.56,1.52,2.34,38.0,32.3,85.0,2.79,Matches
54,Willy Boly\Willy-Boly,ci CIV,DF,Wolves,27,1991,35.2,61.1,6.39,28.5,34.5,2.59,0.91,60.1,0.48,0.63,77.3,0.48,0.00,37.7,207.6,114.8,3.30,0.74,0.00,0.34,0.45,38.0,36.4,95.9,0.85,Matches
55,Léo Bonatini\Leo-Bonatini,br BRA,FW,Wolves,24,1994,1.5,52.0,0.67,4.00,21.3,30.0,12.0,52.0,0.00,0.67,0.0,0.00,0.00,40.7,167.3,71.3,4.00,1.33,0.00,3.33,4.00,52.0,41.3,79.5,13.3,Matches
56,Gaëtan Bong\Gaetan-Bong,cm CMR,DF,Brighton,30,1988,20.1,52.9,4.38,21.2,22.4,12.4,0.15,41.7,0.55,1.34,40.7,0.70,0.05,28.0,159.7,81.6,2.79,1.19,0.00,0.60,0.70,26.7,24.2,90.7,0.70,Matches
57,Artur Boruc\Artur-Boruc,pl POL,GK,Bournemouth,38,1980,12.0,31.4,27.8,31.2,0.25,0.00,0.00,18.3,0.00,0.00,,0.00,0.00,11.1,48.3,28.8,0.00,0.00,0.00,0.00,0.00,8.58,8.58,100.0,0.00,Matches
58,Robbie Brady\Robbie-Brady,ie IRL,MFFW,Burnley,26,1992,8.0,47.8,2.50,9.75,20.6,21.0,1.75,42.6,1.00,1.63,61.5,1.13,0.00,28.9,150.4,81.8,5.25,1.88,0.50,1.38,1.38,31.4,25.8,82.1,5.00,Matches
59,Miguel Britos\Miguel-Britos,uy URU,DF,Watford,33,1985,2.1,38.6,7.14,25.7,13.3,1.43,0.00,38.1,0.00,0.95,0.0,0.00,0.00,18.1,92.4,42.9,1.43,0.48,0.00,0.48,0.00,17.1,17.1,100.0,0.00,Matches
60,David Brooks\David-Brooks,wal WAL,MFFW,Bournemouth,21,1997,25.1,49.5,1.12,8.80,24.1,20.5,3.86,47.3,1.67,3.03,55.3,1.95,0.12,37.6,189.4,104.1,4.82,1.63,0.84,2.39,2.27,42.4,34.7,81.8,6.73,Matches
61,Bruno\Bruno,es ESP,DF,Brighton,37,1980,12.6,57.6,5.16,22.0,26.1,11.7,0.32,48.2,0.56,0.87,63.6,0.63,0.00,34.6,117.7,64.0,1.67,0.63,0.00,0.24,0.08,36.0,32.9,91.4,0.56,Matches
62,Joe Bryan\Joe-Bryan,eng ENG,DF,Fulham,24,1993,26.1,60.3,4.56,18.1,28.7,17.1,1.42,50.8,0.69,1.03,66.7,0.73,0.00,34.5,189.8,103.2,5.06,1.53,0.42,0.80,0.88,36.3,33.0,90.8,1.65,Matches
63,David Button\David-Button,eng ENG,GK,Brighton,29,1989,4.0,28.8,27.0,28.8,0.00,0.00,0.00,17.8,0.00,0.00,,0.00,0.00,11.5,82.3,52.3,0.00,0.00,0.00,0.00,0.00,9.50,9.25,97.4,0.00,Matches
64,Willy Caballero\Willy-Caballero,ar ARG,GK,Chelsea,36,1981,2.0,32.5,29.5,32.5,0.00,0.00,0.00,21.5,0.00,0.00,,0.00,0.00,14.5,62.5,32.5,0.00,0.00,0.00,0.00,0.00,14.5,14.5,100.0,0.00,Matches
65,Gary Cahill\Gary-Cahill,eng ENG,DF,Chelsea,32,1985,0.3,66.7,3.33,16.7,53.3,0.00,0.00,66.7,0.00,0.00,,0.00,0.00,53.3,203.3,160.0,0.00,0.00,0.00,0.00,0.00,50.0,50.0,100.0,0.00,Matches
66,Tom Cairney\Tom-Cairney,sco SCO,MFFW,Fulham,27,1991,24.4,67.9,1.31,9.59,42.1,21.3,1.48,66.8,1.80,2.50,72.1,2.05,0.12,56.4,273.9,126.4,6.27,2.30,0.25,1.19,1.89,62.7,54.3,86.7,5.37,Matches
67,Dominic Calvert-Lewin\Dominic-Calvert-Lewin,eng ENG,FW,Everton,21,1997,19.8,37.2,1.16,2.73,16.5,20.7,4.75,36.7,1.26,2.32,54.3,1.36,0.05,24.1,103.5,37.5,2.27,0.71,0.61,3.18,2.53,57.0,28.0,49.1,12.5,Matches
68,Rafael Camacho\Rafael-Camacho,pt POR,DF,Liverpool,18,2000,0.0,1,1,1,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,Matches
