Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
28,Alex McCarthy\Alex-McCarthy,eng ENG,GK,Southampton,28,1989,25,25,2250,25.0,1.76,1.76,4.64,3.08,63.8,0.20,0.32,0.48,0.16,16.0,0.08,0.08,0.00,0.00,0.0,Matches
29,Will Norris\Will-Norris,eng ENG,GK,Wolves,24,1993,1,0,,0.0,0,,0,0,,0,0,0,1,,0,0,0,0,,Matches
30,Rui Patrício\Rui-Patricio,pt POR,GK,Wolves,30,1988,37,37,3330,37.0,1.24,1.24,3.73,2.65,68.8,0.41,0.24,0.35,0.22,21.6,0.11,0.08,0.00,0.03,0.0,Matches
31,Jordan Pickford\Jordan-Pickford,eng ENG,GK,Everton,24,1994,38,38,3420,38.0,1.21,1.21,3.37,2.26,65.6,0.39,0.24,0.37,0.37,36.8,0.13,0.05,0.08,0.00,60.0,Matches
32,Sergio Rico\Sergio-Rico,es ESP,GK,Fulham,24,1993,29,29,2610,29.0,1.93,1.93,5.55,3.79,67.7,0.21,0.10,0.69,0.17,17.2,0.14,0.14,0.00,0.00,0.0,Matches
33,John Ruddy\John-Ruddy,eng ENG,GK,Wolves,31,1986,1,1,90,1.0,0.00,0.00,3.00,3.00,100.0,1.00,0.00,0.00,1.00,100.0,0.00,0.00,0.00,0.00,,Matches
34,Mathew Ryan\Mathew-Ryan,au AUS,GK,Brighton,26,1992,34,34,3060,34.0,1.62,1.62,4.12,2.74,66.4,0.24,0.24,0.53,0.18,17.6,0.24,0.24,0.00,0.00,0.0,Matches
35,Kasper Schmeichel\Kasper-Schmeichel,dk DEN,GK,Leicester City,31,1986,38,38,3420,38.0,1.26,1.26,3.66,2.53,69.1,0.39,0.18,0.42,0.26,26.3,0.13,0.13,0.00,0.00,0.0,Matches
36,Julián Speroni\Julian-Speroni,ar ARG,GK,Crystal Palace,39,1979,1,1,90,1.0,4.00,4.00,9.00,5.00,55.6,0.00,0.00,1.00,0.00,0.0,0.00,0.00,0.00,0.00,,Matches
37,Mark Travers\Mark-Travers,ie IRL,GK,Bournemouth,19,1999,2,2,180,2.0,2.50,2.50,6.50,4.50,61.5,0.50,0.00,0.50,0.50,50.0,0.00,0.00,0.00,0.00,,Matches
38,Michel Vorm\Michel-Vorm,nl NED,GK,Tottenham,34,1983,2,2,180,2.0,2.00,2.00,6.50,4.50,69.2,0.00,0.00,1.00,0.00,0.0,0.00,0.00,0.00,0.00,,Matches
