Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
473,Sam Vokes\Sam-Vokes,wal WAL,FW,Burnley,28,1989,10.2,0.49,0.00,0.10,0.20,0.20,0.00,0.00,,0.00,12.3,2.65,21.6,0.39,6.08,5.78,0.69,0.29,0.00,0.39,0.10,0.59,1.57,0.00,Matches
474,Michel Vorm\Michel-Vorm,nl NED,GK,Tottenham,34,1983,2.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
475,Matěj Vydra\Matej-Vydra,cz CZE,FWMF,Burnley,26,1992,3.5,1.14,0.86,0.29,0.57,0.29,0.00,1.43,0.0,1.43,22.6,4.00,17.7,2.00,11.4,9.14,1.14,0.29,0.29,0.86,0.86,2.00,0.57,0.00,Matches
476,Theo Walcott\Theo-Walcott,eng ENG,FWMF,Everton,29,1989,23.5,1.11,0.60,0.55,0.21,0.34,0.55,1.15,48.1,0.60,14.9,3.87,26.0,5.36,6.38,3.15,1.06,0.09,0.00,0.98,0.60,1.70,0.55,0.00,Matches
477,Kyle Walker\Kyle-Walker,eng ENG,DF,Manchester City,28,1990,30.9,1.49,1.00,0.78,0.61,0.10,0.78,1.39,55.8,0.61,11.2,3.27,29.2,5.50,4.40,1.29,1.23,0.13,0.03,1.10,0.55,2.04,2.20,0.00,Matches
478,Kyle Walker-Peters\Kyle-Walker-Peters,eng ENG,DF,Tottenham,21,1997,4.2,1.43,0.48,0.71,0.48,0.24,0.95,1.67,57.1,0.71,14.8,3.81,25.8,9.05,3.57,2.14,1.43,0.24,0.00,1.19,1.19,2.62,0.95,0.00,Matches
479,Aaron Wan-Bissaka\Aaron-Wan-Bissaka,eng ENG,DF,Crystal Palace,20,1997,34.8,3.85,1.72,2.82,0.86,0.17,1.09,1.58,69.1,0.49,20.5,4.80,23.4,15.1,3.94,1.52,2.96,0.55,0.00,2.41,2.18,6.03,4.40,0.03,Matches
480,Victor Wanyama\Victor-Wanyama,ke KEN,MF,Tottenham,27,1991,5.7,3.68,2.46,2.11,1.40,0.18,1.58,2.81,56.3,1.23,18.8,5.44,29.0,6.14,11.2,1.40,2.28,0.53,0.00,1.75,1.40,5.09,1.93,0.00,Matches
481,Danny Ward\Danny-Ward,eng ENG,FW,Cardiff City,26,1991,4.9,0.20,0.20,0.00,0.00,0.20,0.00,0.82,0.0,0.82,23.7,4.08,17.2,1.43,13.3,8.98,1.84,0.20,0.00,1.63,0.20,0.41,1.84,0.00,Matches
482,Joel Ward\Joel-Ward,eng ENG,DF,Crystal Palace,28,1989,6.1,2.13,1.31,1.31,0.66,0.16,0.66,1.64,40.0,0.98,13.1,3.11,23.8,8.03,4.26,0.82,3.11,0.16,0.00,2.95,0.98,3.11,4.75,0.16,Matches
483,Stephen Ward\Stephen-Ward,ie IRL,DF,Burnley,32,1985,2.5,0.80,0.80,0.40,0.00,0.40,0.40,0.80,50.0,0.40,6.40,2.40,37.5,2.40,2.80,1.20,2.00,0.40,0.00,1.60,0.40,1.20,3.20,0.00,Matches
484,James Ward-Prowse\James-Ward-Prowse,eng ENG,MFDF,Southampton,23,1994,21.6,1.99,1.02,1.16,0.65,0.19,0.93,2.82,32.8,1.90,28.5,7.59,26.7,9.58,12.8,6.11,1.57,0.32,0.05,1.25,0.93,2.92,1.85,0.05,Matches
485,Danny Welbeck\Danny-Welbeck,eng ENG,FWMF,Arsenal,27,1990,1.7,1.76,1.76,0.00,1.76,0.00,0.59,2.35,25.0,1.76,26.5,4.71,17.8,4.12,14.7,7.65,2.35,0.00,0.00,2.35,0.59,2.35,0.59,0.00,Matches
486,Ashley Westwood\Ashley-Westwood,eng ENG,MF,Burnley,28,1990,31.4,2.01,1.27,0.64,1.08,0.29,0.45,1.53,29.2,1.08,22.5,5.45,24.2,8.22,10.8,3.50,1.78,0.35,0.00,1.43,0.99,2.99,1.43,0.00,Matches
487,Connor Wickham\Connor-Wickham,eng ENG,FW,Crystal Palace,25,1993,0.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,38.6,2.86,7.4,2.86,21.4,14.3,1.43,1.43,0.00,0.00,0.00,0.00,2.86,0.00,Matches
488,Georginio Wijnaldum\Georginio-Wijnaldum,nl NED,MF,Liverpool,27,1990,30.3,1.42,1.06,0.43,0.73,0.26,0.40,0.89,44.4,0.50,15.7,4.59,29.1,5.25,7.99,2.51,0.96,0.23,0.00,0.73,0.86,2.28,0.73,0.00,Matches
489,Danny Williams\Danny-Williams,us USA,MF,Huddersfield,29,1989,1.1,0.91,0.00,0.91,0.00,0.00,0.00,0.91,0.0,0.91,22.7,7.27,32.0,6.36,12.7,3.64,0.91,0.91,0.00,0.00,3.64,4.55,0.91,0.00,Matches
490,Willian\Willian,br BRA,FW,Chelsea,29,1988,23.3,1.59,1.07,0.52,0.64,0.43,0.30,1.29,23.3,0.99,22.2,6.22,28.0,4.25,10.9,7.04,0.90,0.04,0.00,0.86,0.52,2.10,0.30,0.00,Matches
491,Joe Willock\Joe-Willock,eng ENG,MF,Arsenal,18,1999,0.7,1.43,0.00,0.00,1.43,0.00,0.00,0.00,,0.00,32.9,2.86,8.7,8.57,17.1,7.14,0.00,0.00,0.00,0.00,2.86,4.29,1.43,0.00,Matches
492,Ben Wilmot\Ben-Wilmot,eng ENG,MF,Watford,18,1999,0.3,0.00,0.00,0.00,0.00,0.00,0.00,3.33,0.0,3.33,26.7,6.67,25.0,10.0,16.7,0.00,13.3,6.67,3.33,6.67,0.00,0.00,0.00,0.00,Matches
493,Jack Wilshere\Jack-Wilshere,eng ENG,MF,West Ham,26,1992,4.4,1.14,0.91,0.00,0.45,0.68,0.45,1.36,33.3,0.91,17.3,4.09,23.7,4.32,10.0,2.95,1.14,0.23,0.00,0.91,0.23,1.36,0.45,0.00,Matches
494,Callum Wilson\Callum-Wilson,eng ENG,FW,Bournemouth,26,1992,28.1,0.39,0.32,0.18,0.11,0.11,0.04,0.43,8.3,0.39,21.8,5.20,23.8,1.71,11.6,8.51,0.43,0.11,0.00,0.32,0.04,0.43,0.50,0.00,Matches
495,Harry Winks\Harry-Winks,eng ENG,MF,Tottenham,22,1996,17.7,1.36,1.19,0.90,0.40,0.06,0.40,1.92,20.6,1.53,19.9,5.25,26.4,9.27,8.76,1.86,1.19,0.23,0.00,0.96,0.79,2.15,0.96,0.00,Matches
496,Chris Wood\Chris-Wood,nz NZL,FW,Burnley,26,1991,28.8,0.35,0.31,0.07,0.17,0.10,0.14,0.66,21.1,0.52,19.0,4.27,22.4,1.60,8.82,8.61,0.94,0.21,0.00,0.73,0.14,0.49,0.76,0.03,Matches
497,Granit Xhaka\Granit-Xhaka,ch SUI,MFDF,Arsenal,25,1992,27.8,2.23,1.37,1.15,0.94,0.14,0.90,2.45,36.8,1.55,15.9,4.86,30.5,5.58,8.42,1.94,1.22,0.29,0.00,0.94,0.86,3.09,2.27,0.04,Matches
498,Andriy Yarmolenko\Andriy-Yarmolenko,ua UKR,FWMF,West Ham,28,1989,5.1,0.39,0.39,0.20,0.00,0.20,0.00,0.98,0.0,0.98,17.8,4.12,23.1,5.10,8.43,4.31,1.76,0.20,0.00,1.57,0.20,0.59,0.20,0.00,Matches
499,DeAndre Yedlin\DeAndre-Yedlin,us USA,DF,Newcastle Utd,25,1993,27.5,1.89,0.98,1.38,0.40,0.11,0.73,1.85,39.2,1.13,20.3,5.02,24.7,12.1,6.40,1.82,2.76,0.51,0.00,2.25,0.91,2.80,2.51,0.00,Matches
500,Maya Yoshida\Maya-Yoshida,jp JPN,DF,Southampton,29,1988,16.9,1.12,0.59,0.59,0.47,0.06,0.30,1.07,27.8,0.77,7.40,2.37,32.0,4.67,2.66,0.06,2.66,1.36,0.00,1.30,1.78,2.90,6.57,0.12,Matches
501,Ashley Young\Ashley-Young,eng ENG,DF,Manchester Utd,33,1985,28.5,1.96,1.02,1.47,0.46,0.04,0.74,1.54,47.7,0.81,12.4,2.88,23.2,7.19,3.75,1.44,1.96,0.32,0.00,1.65,1.33,3.30,2.14,0.00,Matches
502,Pablo Zabaleta\Pablo-Zabaleta,ar ARG,DF,West Ham,33,1985,23.2,2.24,1.21,1.16,0.82,0.26,0.56,2.28,24.5,1.72,14.2,4.27,30.1,8.58,4.14,1.47,2.16,0.65,0.00,1.51,1.81,4.05,3.84,0.13,Matches
503,Wilfried Zaha\Wilfried-Zaha,ci CIV,FW,Crystal Palace,25,1992,33.7,1.28,0.98,0.42,0.62,0.24,0.42,1.04,40.0,0.62,22.2,5.37,24.2,4.60,11.4,6.20,0.92,0.06,0.00,0.86,0.36,1.63,0.06,0.00,Matches
504,Andre-Frank Zambo Anguissa\Andre-Frank-Zambo-Anguissa,cm CMR,MF,Fulham,22,1995,16.9,2.66,1.95,1.12,1.30,0.24,1.12,3.43,32.8,2.31,21.3,5.44,25.6,8.82,10.2,2.31,1.54,0.30,0.00,1.24,1.83,4.50,1.72,0.00,Matches
505,Davide Zappacosta\Davide-Zappacosta,it ITA,DF,Chelsea,26,1992,1.4,0.71,0.71,0.00,0.71,0.00,0.00,1.43,0.0,1.43,12.1,2.14,17.6,5.00,5.00,2.14,2.86,0.00,0.00,2.86,1.43,2.14,2.14,0.00,Matches
506,Oleksandr Zinchenko\Oleksandr-Zinchenko,ua UKR,DF,Manchester City,21,1996,12.8,2.42,1.25,1.09,1.09,0.23,1.02,2.81,36.1,1.80,14.1,4.61,32.6,5.70,5.63,2.81,1.41,0.23,0.00,1.17,1.33,3.75,2.19,0.00,Matches
507,Kenneth Zohore\Kenneth-Zohore,dk DEN,FW,Cardiff City,24,1994,8.4,0.36,0.12,0.00,0.36,0.00,0.00,0.24,0.0,0.24,21.5,4.76,22.1,0.36,10.1,11.1,0.95,0.24,0.00,0.71,0.00,0.36,0.60,0.00,Matches
508,Kurt Zouma\Kurt-Zouma,fr FRA,DF,Everton,23,1994,29.0,1.17,0.69,0.52,0.59,0.07,0.03,0.28,12.5,0.24,8.79,2.66,30.2,5.34,3.17,0.28,1.66,0.48,0.00,1.17,1.41,2.59,5.52,0.07,Matches
