Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
284,Gary Madine\Gary-Madine,eng ENG,FWMF,Cardiff City,27,1990,0.4,30.0,32.5,92.3,405.0,107.5,15.0,15.0,100.0,12.5,15.0,83.3,0.00,0.00,,0.00,0.00,0.00,0.00,5.00,2.50,0.00,7.50,Matches
285,Harry Maguire\Harry-Maguire,eng ENG,DF,Leicester City,25,1993,28.8,51.9,60.7,85.5,1227.7,406.6,13.3,15.1,87.6,25.7,28.2,91.3,12.5,16.4,76.6,0.00,0.01,-0.01,0.31,6.15,0.35,0.00,5.14,Matches
286,Riyad Mahrez\Riyad-Mahrez,dz ALG,FWMF,Manchester City,27,1991,14.9,48.1,59.3,81.1,887.9,190.5,21.1,24.0,88.0,19.7,23.1,85.5,6.64,10.3,64.7,0.27,0.28,-0.01,1.68,1.95,3.02,0.67,4.70,Matches
287,Ainsley Maitland-Niles\Ainsley-Maitland-Niles,eng ENG,DF,Arsenal,20,1997,11.0,41.3,51.9,79.5,717.5,249.1,19.9,22.8,87.3,17.3,20.5,84.4,3.64,6.36,57.1,0.09,0.11,-0.02,0.55,3.00,1.27,0.09,4.82,Matches
288,Sadio Mané\Sadio-Mane,sn SEN,FW,Liverpool,26,1992,34.2,27.3,35.5,76.7,451.4,98.1,14.9,18.0,82.9,9.44,11.9,79.6,2.43,3.89,62.4,0.03,0.13,-0.10,1.26,2.25,1.29,0.12,3.10,Matches
289,Javier Manquillo\Javier-Manquillo,es ESP,DF,Newcastle Utd,24,1994,12.2,28.9,42.4,68.1,503.7,216.6,13.0,16.1,80.7,12.5,17.7,70.4,2.87,6.48,44.3,0.25,0.07,0.17,0.66,2.21,0.90,0.25,3.28,Matches
290,Solly March\Solly-March,eng ENG,FWMF,Brighton,24,1994,27.4,21.8,33.7,64.6,412.8,116.5,10.5,12.9,81.6,7.26,11.0,66.1,3.50,7.26,48.2,0.18,0.14,0.04,1.39,1.28,1.24,0.73,1.68,Matches
291,Adrian Mariappa\Adrian-Mariappa,jm JAM,DF,Watford,31,1986,21.4,34.4,41.1,83.7,741.2,273.8,10.5,11.7,90.0,17.1,18.7,91.3,6.54,10.1,64.5,0.00,0.03,-0.03,0.23,2.20,0.14,0.05,1.92,Matches
292,Lazar Marković\Lazar-Markovic,rs SRB,FW,Fulham,24,1994,0.5,58.0,60.0,96.7,776.0,194.0,38.0,38.0,100.0,14.0,14.0,100.0,4.00,4.00,100.0,0.00,0.00,0.00,2.00,4.00,2.00,0.00,4.00,Matches
293,Anthony Martial\Anthony-Martial,fr FRA,FW,Manchester Utd,22,1995,18.0,31.9,41.8,76.5,439.8,124.9,20.3,24.2,84.1,9.94,13.1,76.2,1.00,2.11,47.4,0.11,0.16,-0.04,1.83,1.94,1.67,0.22,4.33,Matches
294,Adam Masina\Adam-Masina,it ITA,DF,Watford,24,1994,11.2,38.9,50.4,77.2,694.2,308.5,18.3,21.0,87.2,16.3,19.8,82.4,3.66,7.50,48.8,0.09,0.04,0.05,0.18,2.68,0.36,0.18,3.21,Matches
295,Arthur Masuaku\Arthur-Masuaku,cd COD,DF,West Ham,24,1993,19.5,45.0,56.0,80.4,783.9,321.9,22.9,25.1,91.2,16.4,20.3,81.0,5.03,8.72,57.6,0.05,0.08,-0.03,0.77,3.33,0.67,0.31,3.49,Matches
296,Juan Mata\Juan-Mata,es ESP,FWMF,Manchester Utd,30,1988,14.3,43.2,53.6,80.7,768.0,189.1,22.3,24.5,91.1,14.2,17.0,83.5,6.01,10.5,57.3,0.14,0.21,-0.07,2.03,4.34,1.75,0.42,4.48,Matches
297,Nemanja Matić\Nemanja-Matic,rs SRB,MF,Manchester Utd,29,1988,27.1,58.3,66.3,87.9,1113.3,289.3,24.7,27.0,91.4,24.9,27.6,90.1,7.82,10.1,77.4,0.00,0.03,-0.03,0.52,6.38,0.77,0.15,5.42,Matches
298,Joël Matip\Joel-Matip,cm CMR,DF,Liverpool,26,1991,17.1,67.7,77.2,87.7,1470.1,439.2,16.1,17.8,90.8,40.4,43.0,94.0,10.9,15.7,69.1,0.00,0.01,-0.01,0.12,4.97,0.29,0.00,3.45,Matches
299,Konstantinos Mavropanos\Konstantinos-Mavropanos,gr GRE,DF,Arsenal,20,1997,1.6,78.1,83.1,94.0,1670.0,351.9,21.9,22.5,97.2,40.0,43.1,92.8,15.0,15.6,96.0,0.00,0.13,-0.13,0.63,7.50,0.00,0.00,5.00,Matches
300,Alfie Mawson\Alfie-Mawson,eng ENG,DF,Fulham,24,1994,12.6,31.5,38.7,81.5,711.9,233.7,7.54,8.41,89.6,17.5,19.2,90.9,6.35,10.6,60.2,0.00,0.00,0.00,0.08,1.51,0.00,0.00,2.06,Matches
301,Isaac Mbenza\Isaac-Mbenza,be BEL,FWMF,Huddersfield,22,1996,11.0,17.1,25.6,66.7,281.4,77.2,9.18,12.0,76.5,5.73,8.00,71.6,2.00,4.36,45.8,0.09,0.07,0.02,0.64,0.82,0.64,0.45,1.45,Matches
302,James McArthur\James-McArthur,sco SCO,MF,Crystal Palace,30,1987,34.0,33.9,42.8,79.2,605.2,154.3,15.3,17.9,85.2,14.2,16.9,84.1,3.94,6.41,61.5,0.18,0.10,0.08,0.88,3.12,0.50,0.06,2.65,Matches
303,Alex McCarthy\Alex-McCarthy,eng ENG,GK,Southampton,28,1989,25.0,12.7,25.5,49.9,494.5,360.4,1.20,1.20,100.0,5.20,5.32,97.7,6.32,18.9,33.5,0.00,0.00,0.00,0.00,0.68,0.00,0.00,0.00,Matches
